Method,Name,chair_PSNR,chair_SSIM,chair_L1,drums_PSNR,drums_SSIM,drums_L1,ficus_PSNR,ficus_SSIM,ficus_L1,hotdog_PSNR,hotdog_SSIM,hotdog_L1,lego_PSNR,lego_SSIM,lego_L1,materials_PSNR,materials_SSIM,materials_L1,mic_PSNR,mic_SSIM,mic_L1,ship_PSNR,ship_SSIM,ship_L1,Avg_PSNR,Avg_SSIM,Avg_L1
adaptive_cat,dec2ftest,35.21,0.9869,0.004727,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35.21,0.9869,0.004727
baseline,bcemc001op001sc1e4ns_baseline,38.49,0.9931,0.003436,30.67,0.9790,0.007447,38.39,0.9940,0.003008,40.57,0.9913,0.002907,39.03,0.9911,0.003967,-,-,-,-,-,-,-,-,-,37.43,0.9897,0.004153
baseline,dec2ftest_baseline,38.60,0.9933,0.003380,30.75,0.9796,0.007217,38.67,0.9947,0.002992,40.37,0.9913,0.003020,39.98,0.9921,0.003380,-,-,-,-,-,-,-,-,-,37.67,0.9902,0.003998
baseline,exp1_baseline,38.39,0.9933,0.003578,30.76,0.9794,0.007371,38.09,0.9944,0.003288,40.01,0.9909,0.003136,39.81,0.9920,0.003346,36.67,0.9895,0.003931,39.53,0.9965,0.002030,35.12,0.9524,0.007880,37.30,0.9861,0.004320
baseline,no2f,38.62,0.9933,0.003455,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38.62,0.9933,0.003455
baseline,no2fmc1e5ns005op,38.38,0.9933,0.003624,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38.38,0.9933,0.003624
baseline,no2fmcmc1e5ns001scoprune,38.45,0.9936,0.003534,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38.45,0.9936,0.003534
baseline,noc2f_baseline,38.54,0.9933,0.003434,30.57,0.9789,0.007477,37.59,0.9944,0.003461,40.45,0.9913,0.002945,39.82,0.9919,0.003498,36.27,0.9889,0.004450,-,-,-,35.16,0.9523,0.007905,36.91,0.9844,0.004739
baseline,nocfmcmc001op001sc1e4nslmcbce,38.49,0.9932,0.003403,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38.49,0.9932,0.003403
baseline,nocfmcmc001op001sc1e5ns_baseline,38.82,0.9937,0.003269,30.74,0.9795,0.007222,17.40,0.8488,0.042731,40.34,0.9913,0.003237,39.39,0.9916,0.003852,37.07,0.9899,0.003909,-,-,-,34.47,0.9514,0.008293,34.03,0.9637,0.010359
cat,bcemc001op001sc1e4ns_cat0_0_levels,38.75,0.9938,0.003400,30.76,0.9798,0.007288,38.46,0.9938,0.003036,40.83,0.9916,0.002923,39.18,0.9913,0.003951,-,-,-,-,-,-,-,-,-,37.60,0.9901,0.004120
cat,bcemc001op001sc1e4ns_cat1_1_levels,39.42,0.9943,0.003033,31.22,0.9813,0.006948,37.99,0.9930,0.003233,40.95,0.9918,0.002911,-,-,-,-,-,-,-,-,-,-,-,-,37.39,0.9901,0.004031
cat,bcemc001op001sc1e4ns_cat2_2_levels,39.15,0.9942,0.003173,31.33,0.9816,0.006868,38.81,0.9936,0.002826,40.88,0.9916,0.002954,-,-,-,-,-,-,-,-,-,-,-,-,37.54,0.9903,0.003955
cat,bcemc001op001sc1e4ns_cat3_3_levels,39.15,0.9939,0.003176,31.27,0.9813,0.006825,38.45,0.9934,0.002990,40.66,0.9913,0.002995,-,-,-,-,-,-,-,-,-,-,-,-,37.38,0.9900,0.003997
cat,bcemc001op001sc1e4ns_cat4_4_levels,38.72,0.9933,0.003368,31.18,0.9805,0.006879,38.58,0.9934,0.002886,40.34,0.9907,0.003137,-,-,-,-,-,-,-,-,-,-,-,-,37.20,0.9895,0.004067
cat,bcemc001op001sc1e4ns_cat5_5_levels,38.34,0.9924,0.003446,30.92,0.9792,0.007131,38.25,0.9933,0.003030,39.80,0.9898,0.003416,-,-,-,-,-,-,-,-,-,-,-,-,36.83,0.9887,0.004256
cat,bcemc001op001sc1e4ns_cat6_6_levels,37.04,0.9886,0.004301,31.46,0.9794,0.006734,37.48,0.9924,0.003392,39.14,0.9868,0.003500,-,-,-,-,-,-,-,-,-,-,-,-,36.28,0.9868,0.004482
cat,c2ftest_2_levels,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40.21,0.9970,0.001990,-,-,-,40.21,0.9970,0.001990
cat,c2ftest_3_levels,-,-,-,-,-,-,38.86,0.9949,0.002955,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38.86,0.9949,0.002955
cat,dec2ftest_cat0_0_levels,-,-,-,30.69,0.9794,0.007353,38.63,0.9948,0.003013,40.28,0.9911,0.003124,38.82,0.9912,0.004119,-,-,-,-,-,-,-,-,-,37.11,0.9891,0.004402
cat,dec2ftest_cat1_1_levels,-,-,-,31.42,0.9819,0.006648,39.03,0.9952,0.002865,41.18,0.9921,0.002774,40.69,0.9928,0.003128,-,-,-,-,-,-,-,-,-,38.08,0.9905,0.003854
cat,dec2ftest_cat2_2_levels,-,-,-,31.35,0.9817,0.006894,38.55,0.9948,0.003095,41.26,0.9921,0.002804,40.89,0.9930,0.003025,-,-,-,-,-,-,-,-,-,38.01,0.9904,0.003954
cat,dec2ftest_cat3_3_levels,-,-,-,31.54,0.9820,0.006678,38.26,0.9945,0.003233,40.90,0.9917,0.002949,40.68,0.9927,0.003183,-,-,-,-,-,-,-,-,-,37.84,0.9902,0.004011
cat,dec2ftest_cat4_4_levels,-,-,-,31.51,0.9817,0.006660,38.70,0.9947,0.003000,40.66,0.9913,0.003132,39.35,0.9914,0.003897,-,-,-,-,-,-,-,-,-,37.55,0.9898,0.004172
cat,dec2ftest_cat5_5_levels,-,-,-,31.60,0.9809,0.006616,38.62,0.9944,0.003028,40.38,0.9908,0.003180,39.78,0.9911,0.003553,-,-,-,-,-,-,-,-,-,37.59,0.9893,0.004094
