Method,Experiment_Name,PSNR_dB,SSIM,L1,Num_Images
add,comprehensive_add,38.74,0.9940,0.003348,100
baseline,comprehensive_baseline,38.69,0.9935,0.003322,100
cat,comprehensive_cat1_1level,39.16,0.9943,0.003285,100
cat,comprehensive_cat2_2level,39.41,0.9947,0.003063,100
cat,comprehensive_cat3_3level,39.55,0.9946,0.003003,100
cat,comprehensive_cat4_4level,39.37,0.9943,0.003212,100
cat,comprehensive_cat5_5level,38.21,0.9934,0.003600,100
cat,comprehensive_cat6_6level,37.88,0.9917,0.003708,100
deferred,unmoving,36.74,0.9892,0.004219,100
deferred_cat,deferred_cat_4D_median,37.38,0.9911,0.003888,100
deferred_cat,deferred_cat_4D_median_move,37.06,0.9909,0.004079,100
deferred_cat,deferred_cat_8D_median_L1_unmoving,38.00,0.9920,0.003622,100
deferred_cat,deferred_cat_8D_median_L2,36.56,0.9915,0.004445,100
deferred_cat,deferred_cat_8D_median_L2_unmoving,36.99,0.9915,0.004414,100
deferred_cat,depthtestundetach,16.71,0.8323,0.051278,4
deferred_cat,depthtestundetach2,15.83,0.8291,0.059005,4
deferred_cat,fullblackf,35.03,0.9870,0.004996,4
deferred_cat,fullblackfsm,34.50,0.9857,0.005572,4
deferred_cat,fullblacklong,37.75,0.9919,0.003670,4
deferred_cat,fullblacklong12Dunmoving,37.85,0.9921,0.003619,4
deferred_cat,fullblacklong8Dmedian,37.56,0.9915,0.003731,4
deferred_mix,depthtest,29.18,0.9577,0.010176,4
deferred_mix,depthtestundetach,11.20,0.7900,0.115740,4
deferred_mix,dmtestwarmup,17.35,0.8320,0.045452,4
deferred_mix,fullblack,20.17,0.8434,0.033014,100
deferred_mix,fullblackf,20.10,0.8499,0.032552,4
deferred_mix,fullblacklong8Dmedian,11.20,0.7900,0.115741,4
deferred_mix,fullll,38.47,0.9927,0.003345,100
deferred_mix,small,35.71,0.9869,0.004556,100
deferred_mix,unmoving,37.50,0.9910,0.003546,100
