Method,Experiment_Name,PSNR_dB,SSIM,L1,Num_Images
add,comprehensive_add,31.35,0.9817,0.006761,100
baseline,comprehensive_baseline,30.80,0.9798,0.007217,100
cat,comprehensive_cat1_1level,31.66,0.9828,0.006415,100
cat,comprehensive_cat2_2level,31.43,0.9821,0.006749,100
cat,comprehensive_cat3_3level,31.82,0.9828,0.006351,100
cat,comprehensive_cat4_4level,31.71,0.9822,0.006514,100
cat,comprehensive_cat5_5level,31.53,0.9808,0.006733,100
cat,comprehensive_cat6_6level,31.52,0.9792,0.006938,100
deferred,fixed,27.82,0.9647,0.010398,300
deferred,unmoving,30.10,0.9756,0.007764,100
