Method,Experiment_Name,PSNR_dB,SSIM,L1,Num_Images
add,comprehensive_add,38.25,0.9945,0.003160,100
add,comprehensivec2f_add,38.68,0.9949,0.002921,100
baseline,cleanfin,38.17,0.9945,0.003220,100
baseline,cleanfin2,37.82,0.9939,0.003477,100
baseline,cleanfin3,38.56,0.9946,0.002959,100
baseline,cleanre,39.10,0.9951,0.002775,100
baseline,comprehensive_baseline,38.56,0.9946,0.003051,100
baseline,fulltrain,38.78,0.9949,0.002931,100
baseline,loaded,37.62,0.9938,0.003408,100
baseline,test_diag,37.70,0.9927,0.003354,300
baseline,test_load,37.60,0.9926,0.003361,300
baseline,unloaded,38.88,0.9948,0.002897,100
cat,cleanfin4re_3level,39.08,0.9949,0.002812,100
cat,comprehensive_cat1_1level,38.90,0.9950,0.002834,100
cat,comprehensive_cat2_2level,37.82,0.9942,0.003381,100
cat,comprehensive_cat3_3level,38.64,0.9946,0.002918,100
cat,comprehensive_cat4_4level,38.25,0.9942,0.003095,100
cat,comprehensive_cat5_5level,37.27,0.9932,0.003555,100
cat,comprehensive_cat6_6level,37.52,0.9930,0.003383,100
cat,comprehensivec2f_cat0_0level,38.24,0.9944,0.003135,100
cat,comprehensivec2f_cat1_1level,38.75,0.9948,0.002920,100
cat,comprehensivec2f_cat2_2level,38.69,0.9948,0.002903,100
