Found 8 experiments:
  - baseline/exp1_baseline
  - cat/exp1_cat0_0_levels
  - cat/exp1_cat1_1_levels
  - cat/exp1_cat2_2_levels
  - cat/exp1_cat3_3_levels
  - cat/exp1_cat4_4_levels
  - cat/exp1_cat5_5_levels
  - cat/exp1_cat6_6_levels

====================================================================================================
Top 2 Methods by PSNR for Each Image
====================================================================================================
Index    #1 Method                              PSNR1  #2 Method                              PSNR2
----------------------------------------------------------------------------------------------------
0        cat/exp1_cat5_5_levels                 39.20  cat/exp1_cat2_2_levels                 39.03
1        cat/exp1_cat5_5_levels                 36.91  cat/exp1_cat3_3_levels                 36.88
2        cat/exp1_cat2_2_levels                 33.69  cat/exp1_cat4_4_levels                 33.56
3        cat/exp1_cat4_4_levels                 30.98  cat/exp1_cat3_3_levels                 30.72
4        cat/exp1_cat5_5_levels                 36.32  cat/exp1_cat4_4_levels                 36.16
5        cat/exp1_cat4_4_levels                 33.27  cat/exp1_cat3_3_levels                 32.80
6        cat/exp1_cat2_2_levels                 40.54  cat/exp1_cat4_4_levels                 40.42
7        cat/exp1_cat2_2_levels                 38.69  cat/exp1_cat3_3_levels                 38.53
8        cat/exp1_cat6_6_levels                 34.97  cat/exp1_cat5_5_levels                 34.91
9        cat/exp1_cat4_4_levels                 30.99  cat/exp1_cat3_3_levels                 30.83
10       cat/exp1_cat1_1_levels                 39.61  cat/exp1_cat2_2_levels                 39.54
11       cat/exp1_cat2_2_levels                 39.90  cat/exp1_cat5_5_levels                 39.90
12       cat/exp1_cat3_3_levels                 38.44  cat/exp1_cat5_5_levels                 38.43
13       cat/exp1_cat4_4_levels                 37.39  cat/exp1_cat5_5_levels                 37.23
14       cat/exp1_cat5_5_levels                 40.08  cat/exp1_cat2_2_levels                 40.05
15       cat/exp1_cat5_5_levels                 38.06  cat/exp1_cat3_3_levels                 38.03
16       baseline/exp1_baseline                 36.78  cat/exp1_cat6_6_levels                 36.55
17       cat/exp1_cat5_5_levels                 38.17  cat/exp1_cat4_4_levels                 38.08
18       cat/exp1_cat4_4_levels                 39.20  cat/exp1_cat1_1_levels                 39.18
19       cat/exp1_cat5_5_levels                 40.07  cat/exp1_cat2_2_levels                 40.03
20       cat/exp1_cat3_3_levels                 38.89  cat/exp1_cat2_2_levels                 38.82
21       cat/exp1_cat5_5_levels                 39.95  cat/exp1_cat4_4_levels                 39.86
22       cat/exp1_cat3_3_levels                 39.66  cat/exp1_cat2_2_levels                 39.64
23       cat/exp1_cat3_3_levels                 39.78  cat/exp1_cat1_1_levels                 39.67
24       cat/exp1_cat5_5_levels                 38.10  cat/exp1_cat3_3_levels                 37.99
25       cat/exp1_cat2_2_levels                 39.20  cat/exp1_cat4_4_levels                 39.11
26       cat/exp1_cat4_4_levels                 40.36  cat/exp1_cat5_5_levels                 40.24
27       cat/exp1_cat5_5_levels                 37.81  cat/exp1_cat2_2_levels                 37.67
28       cat/exp1_cat4_4_levels                 39.94  cat/exp1_cat5_5_levels                 39.90
29       cat/exp1_cat4_4_levels                 41.01  cat/exp1_cat1_1_levels                 40.90
30       cat/exp1_cat3_3_levels                 32.11  cat/exp1_cat4_4_levels                 32.02
31       cat/exp1_cat2_2_levels                 39.85  cat/exp1_cat5_5_levels                 39.84
32       cat/exp1_cat4_4_levels                 39.28  cat/exp1_cat1_1_levels                 39.21
33       cat/exp1_cat5_5_levels                 39.96  cat/exp1_cat2_2_levels                 39.76
34       cat/exp1_cat5_5_levels                 39.95  cat/exp1_cat3_3_levels                 39.83
35       cat/exp1_cat1_1_levels                 41.25  cat/exp1_cat4_4_levels                 41.18
36       cat/exp1_cat2_2_levels                 38.47  cat/exp1_cat3_3_levels                 38.43
37       cat/exp1_cat4_4_levels                 36.96  cat/exp1_cat5_5_levels                 36.83
38       cat/exp1_cat4_4_levels                 39.96  cat/exp1_cat1_1_levels                 39.90
39       cat/exp1_cat6_6_levels                 34.69  cat/exp1_cat5_5_levels                 34.61
40       cat/exp1_cat0_0_levels                 36.81  cat/exp1_cat5_5_levels                 36.79
41       cat/exp1_cat1_1_levels                 40.52  cat/exp1_cat4_4_levels                 40.52
42       cat/exp1_cat5_5_levels                 40.20  cat/exp1_cat3_3_levels                 40.14
43       cat/exp1_cat5_5_levels                 39.73  cat/exp1_cat3_3_levels                 39.61
44       cat/exp1_cat5_5_levels                 38.04  cat/exp1_cat4_4_levels                 37.93
45       cat/exp1_cat1_1_levels                 33.24  baseline/exp1_baseline                 32.95
46       cat/exp1_cat4_4_levels                 38.81  cat/exp1_cat2_2_levels                 38.75
47       baseline/exp1_baseline                 36.53  cat/exp1_cat6_6_levels                 36.39
48       cat/exp1_cat4_4_levels                 36.90  cat/exp1_cat2_2_levels                 36.62
49       cat/exp1_cat4_4_levels                 40.27  cat/exp1_cat1_1_levels                 40.24
50       cat/exp1_cat5_5_levels                 39.01  cat/exp1_cat4_4_levels                 38.93
51       cat/exp1_cat4_4_levels                 31.44  cat/exp1_cat3_3_levels                 31.13
52       cat/exp1_cat3_3_levels                 37.43  cat/exp1_cat4_4_levels                 37.21
53       cat/exp1_cat3_3_levels                 39.47  cat/exp1_cat2_2_levels                 39.33
54       cat/exp1_cat0_0_levels                 37.14  cat/exp1_cat5_5_levels                 37.07
55       cat/exp1_cat4_4_levels                 38.96  cat/exp1_cat5_5_levels                 38.91
56       cat/exp1_cat4_4_levels                 38.74  cat/exp1_cat2_2_levels                 38.69
57       cat/exp1_cat5_5_levels                 38.72  cat/exp1_cat2_2_levels                 38.47
58       cat/exp1_cat2_2_levels                 33.47  cat/exp1_cat4_4_levels                 33.43
59       cat/exp1_cat4_4_levels                 38.03  cat/exp1_cat5_5_levels                 37.85
60       cat/exp1_cat5_5_levels                 39.03  cat/exp1_cat4_4_levels                 38.89
61       cat/exp1_cat4_4_levels                 40.59  cat/exp1_cat1_1_levels                 40.38
62       cat/exp1_cat1_1_levels                 30.96  cat/exp1_cat3_3_levels                 30.74
63       baseline/exp1_baseline                 36.38  cat/exp1_cat5_5_levels                 36.30
64       cat/exp1_cat2_2_levels                 33.12  cat/exp1_cat5_5_levels                 33.06
65       cat/exp1_cat4_4_levels                 39.37  cat/exp1_cat2_2_levels                 39.16
66       cat/exp1_cat4_4_levels                 40.78  cat/exp1_cat1_1_levels                 40.59
67       cat/exp1_cat4_4_levels                 39.51  cat/exp1_cat3_3_levels                 39.48
68       cat/exp1_cat5_5_levels                 37.78  cat/exp1_cat2_2_levels                 37.69
69       baseline/exp1_baseline                 36.36  cat/exp1_cat5_5_levels                 36.36
70       cat/exp1_cat4_4_levels                 39.60  cat/exp1_cat5_5_levels                 39.57
