dataset,scene,vk_psnr,vk_ssim,vk_lpips,vk_l1
mip_360,room,31.56,0.9193,0.1890,0.0165
mip_360,garden,27.03,0.8376,0.1288,0.0295
mip_360,bicycle,24.44,0.7137,0.2382,0.0429
mip_360,bonsai,32.62,0.9380,0.1701,0.0142
mip_360,counter,29.32,0.9009,0.1832,0.0180
mip_360,flowers,20.78,0.5577,0.3199,0.0628
mip_360,kitchen,31.47,0.9189,0.1232,0.0170
mip_360,stump,25.76,0.7228,0.2632,0.0365
mip_360,treehill,22.56,0.6015,0.2937,0.0485
tnt,train,22.53,0.8226,0.1734,0.0566
tnt,truck,25.56,0.8781,0.1171,0.0314
db,drjohnson,29.59,0.8910,0.2314,0.0205
db,playroom,30.41,0.8926,0.2080,0.0205
