dataset,scene,n_cams,vk_ms,vk_median_ms,vk_p95_ms,vk_fps,vk_pre_ms,vk_sort_ms,vk_raster_ms,cuda_ms,cuda_median_ms,cuda_p95_ms,cuda_fps,speedup,vk_psnr,vk_ssim,vk_lpips,cuda_psnr,cuda_ssim,cuda_lpips
mip_360,bicycle,25,0.3554,0.3565,0.3847,2814.1,0.0348,0.1399,0.1806,0.6603,0.6458,0.7369,1514.4,1.86,24.44,0.7137,0.2382,24.44,0.7137,0.2383
mip_360,bonsai,37,0.3794,0.3733,0.4324,2635.6,0.0258,0.1165,0.2371,0.7586,0.7594,0.8465,1318.2,2.00,32.62,0.9380,0.1701,32.62,0.9380,0.1704
mip_360,counter,30,0.4519,0.4551,0.5303,2212.8,0.0218,0.1145,0.3156,0.6299,0.6191,0.7072,1587.6,1.39,29.32,0.9009,0.1832,29.32,0.9010,0.1833
mip_360,flowers,22,0.4477,0.4447,0.4901,2233.6,0.0424,0.1425,0.2628,0.7759,0.7729,0.8383,1288.9,1.73,20.78,0.5577,0.3199,20.78,0.5578,0.3200
mip_360,garden,24,0.3693,0.3692,0.3971,2707.6,0.0395,0.1460,0.1838,0.5077,0.5044,0.5515,1969.7,1.37,27.03,0.8376,0.1288,27.03,0.8376,0.1288
mip_360,kitchen,35,0.5846,0.5845,0.6536,1710.5,0.0422,0.1592,0.3832,0.7188,0.7072,0.8454,1391.1,1.23,31.47,0.9189,0.1232,31.47,0.9190,0.1233
mip_360,room,39,0.3085,0.3108,0.3774,3241.7,0.0261,0.0950,0.1874,0.5001,0.5024,0.5434,1999.8,1.62,31.56,0.9193,0.1890,31.56,0.9193,0.1891
mip_360,stump,16,0.3115,0.2996,0.3908,3209.9,0.0246,0.1197,0.1672,0.6950,0.6888,0.8659,1438.9,2.23,25.76,0.7228,0.2632,25.76,0.7228,0.2632
mip_360,treehill,18,0.4077,0.4027,0.4536,2453.1,0.0308,0.1374,0.2394,0.7585,0.7564,0.8731,1318.4,1.86,22.56,0.6015,0.2937,22.56,0.6015,0.2937
tnt,train,38,0.3645,0.3689,0.4151,2743.6,0.0279,0.1230,0.2136,0.4902,0.4825,0.6519,2040.1,1.34,22.53,0.8226,0.1734,22.58,0.8232,0.1727
tnt,truck,32,0.3067,0.3046,0.3386,3260.1,0.0244,0.1162,0.1662,0.4176,0.4165,0.4661,2394.9,1.36,25.56,0.8781,0.1171,25.60,0.8784,0.1169
db,drjohnson,33,0.2344,0.2285,0.3400,4265.4,0.0124,0.0862,0.1359,0.4598,0.4645,0.5536,2175.1,1.96,29.59,0.8910,0.2314,29.57,0.8910,0.2317
db,playroom,29,0.2267,0.2268,0.2679,4410.5,0.0123,0.0818,0.1327,0.5367,0.5434,0.6058,1863.4,2.37,30.41,0.8926,0.2080,30.39,0.8928,0.2082
